id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
30488,47,"п Мурино, земли САОЗТ ""Ручьи"", блок-секция Паркинг",ПЕТРОСТРОЙ,60.2177,30.6769,Типовой,2019-05-15,,,0.0,0,Другое,1,,Не нормируется,,,
30854,47,"г Сертолово, микрорайон Сертолово-1, блок-секция Корпус 4, многоэтажная автостоянка",ПЕТРОСТРОЙ,60.1407,30.2356,Типовой,2021-03-31,8.0,499.0,12737.1,0,Монолит-кирпич,7,0.0,C,60760.0,"2,56",222.0
21833,47,"г Мурино, Земли САОЗТ ""Ручьи"", блок-секция А,Б",ПЕТРОСТРОЙ,60.0655,30.4239,Типовой,2021-07-13,19.0,549.0,14222.29,0,Монолит-кирпич,7,0.0,C,61143.0,"2,56",40.0
30528,47,"г Всеволожск, Уч. №8, блок-секция Корпус 1",ПЕТРОСТРОЙ,60.0223,30.6008,Типовой,2021-09-08,17.0,479.0,12316.31,0,Монолит-кирпич,2,0.0,C,55815.0,"2,56",20.0
17731,47,"город Сертолово, район мкр-н Сертолово-1, улица Пограничная, вл. уч. 4, блок-секция 2 корпус",ПЕТРОСТРОЙ,60.1408,30.2309,Комфорт,2018-12-19,,486.0,27857.1,0,Монолит-кирпич,7,0.0,C,,,
21836,47,"г Мурино, Земли САОЗТ ""Ручьи"", блок-секция В, Г",ПЕТРОСТРОЙ,60.0655,30.4239,Типовой,2021-07-06,20.0,618.0,15754.04,0,Монолит-кирпич,6,0.0,C,63797.0,"2,56",40.0
17732,47,"город Сертолово, район мкр-н Сертолово-1, улица Пограничная, вл. уч. 4, блок-секция 3 корпус",ПЕТРОСТРОЙ,60.1412,30.2339,Комфорт,2019-01-25,,314.0,27857.1,0,Монолит-кирпич,6,0.0,C,,,
30857,47,"г Сертолово, микрорайон Сертолово-1, блок-секция Корпус 7",ПЕТРОСТРОЙ,60.1385,30.2303,Типовой,2021-12-31,8.0,656.0,17703.62,0,Монолит-кирпич,7,0.0,C,70501.0,"2,56",34.0
30880,47,"г Всеволожск, Участок 7, блок-секция Пристроенная надземная автостоянка",ПЕТРОСТРОЙ,60.0222,30.599,Типовой,2022-09-30,3.0,0.0,0.0,0,Монолит-кирпич,2,0.0,C,,,0.0
30531,47,"г Всеволожск, Уч. №8, блок-секция Встроенно-пристроенная автостоянка",ПЕТРОСТРОЙ,60.0227,30.6006,Типовой,2021-12-31,4.0,0.0,0.0,0,Монолит-кирпич,2,128.0,C,,,0.0
38023,47,"д Новосаратовка, район Центральное отделение, корпус 1",ПРАВОБЕРЕЖНЫЙ,59.845,30.5347,Комфорт,2023-09-30,24.0,330.0,13571.34,0,Другое,2,0.0,C,118484.0,"2,55 - 2,75",77.0
38024,47,"д Новосаратовка, район Центральное отделение, корпус 2",ПРАВОБЕРЕЖНЫЙ,59.8436,30.5314,Комфорт,2023-09-30,23.0,473.0,18685.18,0,Другое,3,0.0,C,123021.0,"2,55 - 2,75",174.0
38025,47,"д Новосаратовка, район Центральное отделение, корпус 3",ПРАВОБЕРЕЖНЫЙ,59.8429,30.5346,Комфорт,2023-12-31,23.0,452.0,18167.12,0,Другое,2,0.0,C,124406.0,"2,55 - 2,75",50.0
38026,47,"д Новосаратовка, район Центральное отделение, корпус 4",ПРАВОБЕРЕЖНЫЙ,59.8433,30.5373,Комфорт,2023-12-31,23.0,435.0,19157.68,0,Другое,2,0.0,C,124383.0,"2,55 - 2,75",135.0
30974,47,"д Старая, переулок Школьный, корпус 8",РИБИС,59.9314,30.6469,Типовой,2019-12-19,17.0,144.0,6664.89,0,Монолит,5,0.0,B,,,
30939,47,"д Старая, переулок школьный, корпус 6",РИБИС,59.9313,30.6478,Типовой,2019-12-19,13.0,264.0,11192.45,0,Монолит,5,0.0,B,48137.0,,
30938,47,"д Старая, переулок Школьный, корпус 5",РИБИС,59.9321,30.6417,Типовой,2019-12-19,13.0,264.0,11192.45,0,Монолит,5,0.0,B,49686.0,,
30974,47,"д Старая, переулок Школьный, корпус 8",РИБИС,59.9314,30.6469,Типовой,2019-12-19,17.0,144.0,6664.89,0,Монолит,5,0.0,B,,,
30948,47,"д Старая, переулок школьный, корпус 7",РИБИС,59.9321,30.6417,Типовой,2019-12-19,17.0,144.0,6654.83,0,Монолит,5,0.0,B,46564.0,,
20843,47,"массив Агалатово, район Военный городок",РОСОБЛСТРОЙ,60.216,30.3001,Комфорт,2021-08-19,6.0,155.0,6588.86,0,Монолит-кирпич,3,0.0,B,71121.0,"2,74 - 2,94",5.0
13218,47,"п Мурино, ул Оборонная",РОССТРОЙИНВЕСТ,60.0415,30.4639,Типовой,2018-12-29,13.0,552.0,19745.19,0,Другое,6,0.0,B,,,
12983,47,"г Сертолово, микрорайон Черная Речка, шоссе Восточно-Выборгское, корпус 2.1",РСТИ-СЕРТОЛОВО,60.1774,30.1301,Типовой,2018-12-26,4.0,90.0,4028.1,0,Другое,2,0.0,B,,,
12984,47,"г Сертолово, микрорайон Черная Речка, шоссе Восточно-Выборгское, корпус 2.2.",РСТИ-СЕРТОЛОВО,60.1772,30.1313,Типовой,2018-12-26,4.0,94.0,3943.7,0,Другое,2,0.0,B,61138.0,,
12985,47,"г Сертолово, миерорайон Черная Речка, шоссе Восточно_Выборгское, корпус 2.3.",РСТИ-СЕРТОЛОВО,60.1782,30.1314,Типовой,2018-12-26,4.0,220.0,9295.8,0,Другое,2,0.0,B,60860.0,,
17164,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9007,30.5166,Другое,2016-12-30,17.0,294.0,59397.93,0,Другое,7,0.0,C,,,
17226,47,"Кудрово, улица Английская, д. 3, корпус 1",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9026,30.5202,Другое,2018-03-27,26.0,348.0,9750.31,0,Другое,7,0.0,B,,,
17219,47,"д, улица Столичная, д. 6",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.8989,30.5182,Другое,2015-12-28,14.0,335.0,10740.2,0,Другое,7,0.0,C,,,
13540,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9019,30.5133,Другое,2016-12-29,20.0,1595.0,59397.93,0,Монолит-кирпич,7,0.0,C,,,
17168,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9006,30.5199,Другое,2017-12-27,26.0,698.0,59397.93,0,Другое,7,0.0,B,,,
28914,47,массив Кудрово,РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9024,30.5159,Другое,2017-07-24,26.0,1127.0,39950.6,0,Другое,7,0.0,Не нормируется,,,
17218,47,"д, улица Английская, д. 5",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9025,30.5217,Другое,2018-04-02,26.0,472.0,17056.22,0,Другое,7,0.0,B,,,
17222,47,"д, улица Столичная, д. 6",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9017,30.5163,Другое,2016-12-29,22.0,563.0,20437.63,0,Другое,7,0.0,C,,,
17227,47,"Кудрово, улица Английская, д. 3, корпус 2",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9025,30.5168,Другое,2018-03-27,26.0,348.0,9750.31,0,Другое,7,0.0,B,,,
17220,47,"Кудрово, улица Столичная, д. 5, корпус 1",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.8989,30.5182,Другое,2015-12-28,14.0,351.0,11992.56,0,Другое,7,0.0,C,,,
17224,47,"д, улица Столичная, д. 6, корпус 1",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9017,30.5163,Другое,2016-12-29,23.0,305.0,9247.68,0,Другое,7,0.0,C,,,
17169,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9005,30.5199,Другое,2017-12-27,26.0,421.0,14806.91,0,Другое,7,0.0,B,,,
17163,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9007,30.5165,Другое,2016-12-30,26.0,430.0,15130.36,0,Другое,7,0.0,C,,,
17229,47,"Кудрово, улица Английская, д. 3, корпус 3",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9026,30.5202,Другое,2018-03-27,26.0,348.0,9750.31,0,Другое,7,0.0,B,,,
17221,47,"Кудрово, улица Столичная, д. 5, корпус 2",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.8989,30.5182,Другое,2015-12-28,16.0,464.0,15540.37,0,Другое,5,0.0,C,,,
17223,47,"д, улица Столичная, д. 6, корпус 2",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9017,30.5163,Другое,2016-12-29,23.0,306.0,9478.96,0,Другое,7,0.0,C,,,
17165,47,"город Кудрово, улица Центральная",РАЗВИТИЕ ТЕРРИТОРИЙ ПЕТЕРБУРГСКАЯ НЕДВИЖИМОСТЬ,59.9007,30.5166,Другое,2016-12-30,26.0,576.0,22350.72,0,Другое,7,0.0,C,,,
