id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
44166,77,г Москва,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙКОМ,55.517,37.3406,Комфорт,2024-03-31,15.0,2444.0,110687.5,0,Монолит-кирпич,1.0,6,851.0,B,180289.0,"2,67 - 3,72",291.0
37392,77,"г Москва, улица 3-я Нововатутинская, д. 4",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙКОМ,55.521,37.3528,Комфорт,2022-04-15,17.0,950.0,43539.0,0,Монолит-кирпич,1.0,1,412.0,B,144274.0,"2,74 - 3,02",101.0
33254,77,поселение Москва,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙКОМ 1,55.5327,37.3764,Комфорт,2021-08-18,16.0,1538.0,67994.4,0,Другое,1.0,1,0.0,C,116123.0,"2,62",325.0
39197,77,поселение Десеновское,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙКОМ 1,55.5315,37.3847,Комфорт,2023-09-30,16.0,2252.0,96957.0,0,Монолит-кирпич,1.0,2,957.0,B,157052.0,"2,74 - 3,79",227.0
32927,77,"г Москва, район Западное Дегунино, ш Дмитровское, корпус 3, вл. 71",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙТЭК,55.8116,37.5765,Комфорт,2021-12-17,28.0,1316.0,58275.1,0,Монолит-кирпич,7.0,10,412.0,B,193450.0,"2,7",8.0
38738,77,"г Москва, район Западное Дегунино, ш Дмитровское, корпус 5, вл. 71",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙТЭК,55.855,37.5578,Комфорт,2023-09-30,34.0,1432.0,63093.8,0,Монолит-кирпич,6.0,8,189.0,B,238809.0,"2,7",8.0
45398,77,"г Москва, район Щукино, ул Берзарина, вл. 32/2",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙЭКСПОРТ,55.79,37.4689,Комфорт,2024-06-30,29.0,1004.0,45923.4,0,Монолит-кирпич,7.0,9,214.0,C,298000.0,"2,74",4.0
38733,77,"район Щукино, ул Берзарина, вл. 32/14/2",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙЭКСПОРТ,55.7892,37.4715,Комфорт,2022-12-31,26.0,312.0,13177.9,0,Монолит-кирпич,7.0,9,61.0,C,249775.0,"2,83",4.0
42043,77,"г Москва, район Щукино, ул Берзарина, вл. 32/3",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОЙЭКСПОРТ,55.7911,37.4704,Комфорт,2023-09-30,27.0,912.0,48768.9,0,Монолит-кирпич,6.0,9,283.0,C,251210.0,"2,89",24.0
8659,77,"город Москва, район Орехово-Борисово Южное, улица Ясеневая, корпус 1",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СУИХОЛДИНГ,55.6015,37.7274,Типовой,2019-08-29,26.0,1343.0,65379.3,0,Монолит-кирпич,4.0,9,320.0,A,,,
7957,77,"г Москва, район Орехово-Борисово Южное, улица Ясеневая, корпус 3",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СУИХОЛДИНГ,55.6023,37.7301,Типовой,2020-02-14,26.0,640.0,30970.9,0,Монолит-кирпич,4.0,9,0.0,A,154386.0,,
11238,77,"г Москва, район Орехово-Борисово Южное, улица Ясеневая, корпус 2",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СУИХОЛДИНГ,55.6017,37.7287,Типовой,2020-11-26,26.0,1320.0,65967.4,0,Монолит-кирпич,4.0,9,318.0,A,175367.0,,
44265,77,"г Москва, ул Ясеневая, корпус 10",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СУИХОЛДИНГ,55.6021,37.7304,Типовой,2022-12-31,5.0,0.0,0.0,0,Монолит-кирпич,4.0,9,568.0,Не нормируется,66713.0,,18.0
40846,77,"г Москва, район Солнцево, ш Боровское, вл. 2-1",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СФЕРА,55.659,37.4148,Типовой,2022-06-30,5.0,0.0,0.0,0,Другое,5.0,8,294.0,Не нормируется,123301.0,,0.0
44155,77,"г Москва, ул Домостроительная, д. 2",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СФЕРА,55.6658,37.426,Типовой,2022-12-31,22.0,243.0,10360.2,0,Панель,4.0,7,0.0,A+,292856.0,"2,62 - 4,04",37.0
23076,77,"г Москва, район Западное Дегунино, шоссе Дмитровское, д. 71, корпус 2",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТАЛИСМАН ДМК,55.8561,37.5603,Комфорт,2022-03-21,25.0,748.0,35157.0,0,Монолит-кирпич,6.0,8,229.0,C,188947.0,"2,8 - 4,95",33.0
43701,77,"г Москва, район Даниловский, проезд Жуков, вл. 8",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТАЛЛЕР,55.7221,37.6437,Элитный,2024-06-30,12.0,0.0,0.0,0,Монолит-кирпич,9.0,9,88.0,C,368029.0,,17.0
37487,77,"г Москва, улица Черемушкинская Б., вл. 25",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТЕКТА-АКАДЕМИЧЕСКАЯ,55.6783,37.5931,Бизнес,2023-06-30,46.0,662.0,44680.7,0,Монолит-кирпич,7.0,10,423.0,A+,305371.0,"2,95 - 3,3",0.0
45276,77,"г Москва, Обручевский район, улица Обручева, вл. 23",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТЕКТА-ОБРУЧЕВА,55.6588,37.5319,Бизнес,2025-06-30,37.0,1097.0,73555.5,0,Монолит-кирпич,8.0,9,675.0,A,,"3 - 3,85",0.0
