id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,floors,ceiling_height,price_avg,guest_parking_count
38983,78,"город Санкт-Петербург, ул Магнитогорская",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК БОНАВА,59.9387,30.4231,Комфорт,2023-09-30,274.0,13906.86,0,Монолит-кирпич,9.0,8,158.0,B,16.0,"2,7",250744.0,30.0
38802,78,"ул Магнитогорская, д. 11",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК БОНАВА,59.9362,30.4206,Бизнес,2023-12-31,214.0,15139.04,0,Панель,9.0,9,127.0,A,15.0,"2,98",257523.0,198.0
41951,78,"г Санкт-Петербург, линия 12-я В.О., д. 41, литера Ж, корпус 1",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК БРЕММЕР-ХАУС,59.9433,30.2686,Элитный,2024-06-30,92.0,9560.65,0,Другое,8.0,9,72.0,B,7.0,"2,8 - 3,25",303294.0,2.0
36961,78,"г Санкт-Петербург, район П. Лисий Нос, проспект Большой, д. 24, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВИЛЛАРОССИ,60.0139,30.0212,Комфорт,2021-07-22,27.0,1513.7,0,Монолит-кирпич,1.0,2,0.0,A,5.0,"2,75 - 5,75",158668.0,24.0
10898,78,"г Санкт-Петербург, корпус 6",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВЫМПЕЛ,59.939,30.2013,Комфорт,2017-09-14,577.0,18848.0,0,Монолит-кирпич,8.0,7,0.0,B,19.0,,,
10897,78,г Санкт-Петербург,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВЫМПЕЛ,59.9372,30.204,Комфорт,2018-03-20,0.0,0.0,0,Монолит-кирпич,8.0,7,0.0,B,20.0,,,
8520,78,"г Санкт-Петербург, корпус 7",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВЫМПЕЛ,59.9377,30.1986,Комфорт,2017-12-01,1100.0,41094.1,0,Монолит-кирпич,8.0,7,0.0,B,20.0,,,
8521,78,"г Санкт-Петербург, корпус 8",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВЫМПЕЛ,59.9376,30.2003,Комфорт,2018-12-12,266.0,14067.6,0,Монолит-кирпич,8.0,7,0.0,B,20.0,,,
8522,78,"г Санкт-Петербург, корпус 9",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВЫМПЕЛ,59.9372,30.2009,Комфорт,2018-12-12,1023.0,39918.67,0,Монолит-кирпич,8.0,7,0.0,B,20.0,,,
8523,78,г Санкт-Петербург,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВЫМПЕЛ,59.936,30.2008,Комфорт,2019-12-31,140.0,4840.22,0,Монолит-кирпич,8.0,7,0.0,B,19.0,,95556.0,
34227,78,"г Санкт-Петербург, район Петроградский, ул Малая Зеленина, д. 8, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГАРДИЕН,59.9634,30.2799,Элитный,2021-05-28,38.0,4474.24,0,Другое,10.0,8,34.0,B,11.0,"3 - 3,3",180246.0,0.0
3282,78,"город Санкт-Петербург, район Центральный, улица Кирочная, д. 62, строение 1",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГАРДИЕН,59.9411,30.3844,Элитный,2017-07-28,70.0,6561.07,0,Монолит-кирпич,8.0,9,52.0,A,10.0,,,
33377,78,"г Павловск, пер Песчаный, д. 9, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРИНПЛАСТ,59.6841,30.4419,Комфорт,2021-10-21,13.0,790.57,0,Монолит-кирпич,1.0,7,9.0,A+,4.0,"2,7 - 2,73",100356.0,0.0
35214,78,"г Санкт-Петербург, ул Белоостровская, д. 9, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРИНХАУС,59.9855,30.3295,Бизнес,2023-06-30,535.0,31435.6,0,Монолит-кирпич,10.0,8,0.0,B,13.0,"2,85",175048.0,54.0
39298,78,"г Санкт-Петербург, линия 11-я В.О., д. 56, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ДОМ НА 11-ОЙ,59.9442,30.2689,Бизнес,2023-03-31,28.0,2418.89,0,Монолит-кирпич,10.0,1,12.0,A,8.0,"2,74 - 2,9",214061.0,0.0
39297,78,"г Санкт-Петербург, линия 11-я В.О., д. 56, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ДОМ НА 11-ОЙ,59.9442,30.2689,Бизнес,2023-03-31,61.0,5877.65,0,Монолит-кирпич,10.0,1,58.0,A,8.0,"2,74 - 2,9",213293.0,0.0
38359,78,"ул Сызранская, д. 23, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ БЛАГОДАТНАЯ,59.8779,30.339,Комфорт,2023-12-31,154.0,8132.17,0,Монолит-кирпич,9.0,8,0.0,B,12.0,"3,02",272415.0,90.0
38355,78,"ул Сызранская, д. 23, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ БЛАГОДАТНАЯ,59.8781,30.3382,Комфорт,2023-12-31,216.0,12667.48,0,Монолит-кирпич,9.0,8,0.0,B,12.0,"3,02",240191.0,90.0
38358,78,"ул Сызранская, д. 23, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ БЛАГОДАТНАЯ,59.8779,30.3394,Комфорт,2024-03-31,88.0,5317.76,0,Монолит-кирпич,9.0,6,0.0,B,12.0,"3,02",250000.0,90.0
38356,78,"ул Сызранская, д. 23, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ БЛАГОДАТНАЯ,59.8779,30.3395,Комфорт,2024-03-31,91.0,5346.75,0,Монолит-кирпич,9.0,8,156.0,B,12.0,"3,02",244864.0,90.0
38354,78,"ул Сызранская, д. 23, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ БЛАГОДАТНАЯ,59.8778,30.3395,Комфорт,2023-12-31,297.0,15619.71,0,Монолит-кирпич,9.0,8,159.0,B,12.0,"3,02",243942.0,90.0
38357,78,"ул Сызранская, д. 23, литера А",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕВРОИНВЕСТ БЛАГОДАТНАЯ,59.8779,30.339,Комфорт,2024-03-31,106.0,5333.32,0,Монолит-кирпич,9.0,8,0.0,B,12.0,"3,02",337377.0,90.0
