id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count,transport_dist_index
28211,78,"г Санкт-Петербург, Пулковское шоссе, дом 103, литера Р, участок 68.Жилой корпус 1.Кадастровый номер ЗУ 78:14:0772303:3779",АГЕНТСТВО ПО РАЗВИТИЮ ТЕРРИТОРИИ СОЗИДАНИЕ,59.7507,30.3121,Типовой,2022-12-31,6.0,334.0,12589.09,0,Монолит-кирпич,2,0.0,B,144449.0,"2,8",44.0,2.0
28043,78,"г Санкт-Петербург, Пулковское шоссе, дом 103, литера Р, участок 73.Жилой корпус 1.Кадастровый номер ЗУ 78:14:0772303:3784",АГЕНТСТВО ПО РАЗВИТИЮ ТЕРРИТОРИИ СОЗИДАНИЕ,59.7507,30.3121,Типовой,2023-09-30,6.0,274.0,8818.53,0,Монолит-кирпич,2,0.0,B,148027.0,"2,77",43.0,2.0
28042,78,"г Санкт-Петербург, Пулковское шоссе, дом 103, литера Р, участок 73.Жилой корпус 2.Кадастровый номер ЗУ 78:14:0772303:3784",АГЕНТСТВО ПО РАЗВИТИЮ ТЕРРИТОРИИ СОЗИДАНИЕ,59.7507,30.3121,Типовой,2023-09-30,6.0,265.0,9143.58,0,Монолит-кирпич,2,0.0,B,155848.0,"2,77",0.0,2.0
27596,78,"г Санкт-Петербург, Пулковское шоссе, дом 103, литера Р, участок 62.Жилой корпус.Кадастровый номер ЗУ 78:14:0772303:3889",АГЕНТСТВО ПО РАЗВИТИЮ ТЕРРИТОРИИ СОЗИДАНИЕ,59.7507,30.3121,Типовой,2021-12-30,6.0,350.0,11905.78,0,Монолит-кирпич,2,0.0,B,111897.0,"2,77 - 3,2",38.0,2.0
27204,78,"г Санкт-Петербург, Пулковское шоссе, дом 103, литера Р, участок 63.Жилой корпус №2.Кадастровый номер ЗУ 78:14:0772303:3890",АГЕНТСТВО ПО РАЗВИТИЮ ТЕРРИТОРИИ СОЗИДАНИЕ,59.7507,30.3121,Типовой,2022-01-10,6.0,240.0,7804.61,0,Монолит-кирпич,2,0.0,B,128899.0,"2,77 - 3,2",0.0,2.0
27529,78,"г Санкт-Петербург, Проспект Петровский, д. 26, литера В",АЛЬЯНС СИТИ СТРОЙ,59.9609,30.2557,Элитный,2022-06-30,10.0,446.0,30915.83,0,Монолит-кирпич,6,283.0,B,206275.0,3,0.0,9.0
23184,78,"г Санкт-Петербург, ул Савушкина, д. 104, литера А",АТЛАНТ,59.9839,30.2499,Другое,2017-12-01,9.0,0.0,0.0,0,Монолит-кирпич,7,1.0,B,,,,5.0
12038,78,"г Санкт-Петербург, ул Крыленко, д. 1, литера А, корпус 7",БАЗИС,59.8916,30.4516,Типовой,2017-12-29,17.0,368.0,14558.2,0,Другое,9,0.0,B,,,,7.0
12039,78,"г Санкт-Петербург, ул Крыленко, д. 1, литера А, корпус 8",БАЗИС,59.8918,30.454,Типовой,2017-12-29,17.0,368.0,14598.8,0,Другое,9,0.0,B,,,,7.0
12036,78,"г Санкт-Петербург, ул Крыленко, д. 1, литера А, корпус 5",БАЗИС,59.8915,30.4505,Типовой,2017-12-29,17.0,455.0,15392.5,0,Другое,9,0.0,B,,,,7.0
